aar,inst,soKode,navn,studiested,studieplasser,nytt,avlyst,hovedomrade
2018,USN,222404,Økonomi og ledelse,Kongsberg,80,False,False,Økonomi og administrasjon
2018,USN,222414,Økonomi og ledelse,Ringerike,60,False,False,Økonomi og administrasjon
2018,USN,222470,Økonomi og ledelse,Bø,90,False,False,Økonomi og administrasjon
2018,USN,222473,Internasjonal markedsføring og reiseliv,Bø,50,False,False,Økonomi og administrasjon
2018,USN,222867,Forretningsjus og økonomi,Ringerike,50,False,False,"Juridiske fag, rettsvitenskap, politi"
2018,USN,222895,Innovasjon og entreprenørskap,Bø,50,False,False,Økonomi og administrasjon
2019,HIM,211164,Bedriftsøkonomi,Molde,30,False,False,Økonomi og administrasjon
2019,HIM,211292,Logistikk og Supply Chain Management,Molde,30,False,False,Økonomi og administrasjon
2019,HIM,211369,Økonomi og administrasjon,Molde,60,False,False,Økonomi og administrasjon
2019,HIM,211389,Bærekraftig logistikk og sirkulær økonomi,Kristiansund,30,True,False,Økonomi og administrasjon
2019,HIM,211432,Marin logistikk og økonomi,Kristiansund,30,False,False,Økonomi og administrasjon
2019,HIM,211841,Jus og administrasjon,Molde,30,False,False,"Samfunnsfag, psykologi"
2019,HIM,211866,Petroleumslogistikk og økonomi,Kristiansund,30,False,False,Økonomi og administrasjon
2019,HIØ,224035,Økonomi og administrasjon,Halden,85,False,False,Økonomi og administrasjon
2019,HIØ,224398,Bedriftsøkonomi,Halden,25,False,False,Økonomi og administrasjon
2019,HIØ,224516,Regnskap,Halden,40,True,False,Økonomi og administrasjon
2019,HVL,203368,Eiendomsmegling,Sogndal,35,False,False,Økonomi og administrasjon
2019,HVL,203369,Økonomi og administrasjon,Bergen,130,False,False,Økonomi og administrasjon
2019,HVL,203404,Økonomi og administrasjon,Haugesund,90,False,False,Økonomi og administrasjon
2019,HVL,203414,Økonomi og administrasjon,Haugesund,30,False,False,Økonomi og administrasjon
2019,HVL,203515,Økonomi og administrasjon,Sogndal,55,False,False,Økonomi og administrasjon
2019,HVL,203526,Økonomi og jus,Sogndal,25,False,False,"Juridiske fag, rettsvitenskap, politi"
2019,HVO,223452,Planlegging og administrasjon,Volda,15,False,False,Økonomi og administrasjon
2019,INN,209035,Økonomi og administrasjon,Lillehammer,70,False,False,Økonomi og administrasjon
2019,INN,209162,Organisasjon og ledelse,Rena,30,False,False,Økonomi og administrasjon
2019,INN,209164,Bedriftsøkonomi,Rena,20,False,False,Økonomi og administrasjon
2019,INN,209215,"Offentlig styring, ledelse og økonomi",Kongsvinger,80,False,False,Økonomi og administrasjon
2019,INN,209232,Økonomi og administrasjon,Lillehammer,20,False,False,Økonomi og administrasjon
2019,INN,209368,Eiendomsmegling,Rena,50,False,False,Økonomi og administrasjon
2019,INN,209369,Økonomi og administrasjon,Rena,50,False,False,Økonomi og administrasjon
2019,INN,209398,Bedriftsøkonomi,Hamar,150,False,False,Økonomi og administrasjon
2019,INN,209470,Serviceledelse og markedsføring,Rena,50,False,False,Økonomi og administrasjon
2019,INN,209476,Music Business - Management,Rena,35,False,False,Økonomi og administrasjon
2019,INN,209485,Sport Management,Lillehammer,30,False,False,Økonomi og administrasjon
2019,INN,209516,Regnskap og økonomirådgivning,Rena,50,False,False,Økonomi og administrasjon
2019,INN,209525,Organisasjon og ledelse,Lillehammer,70,False,False,Økonomi og administrasjon
2019,INN,209664,Organisasjon og ledelse,Rena,120,False,False,Økonomi og administrasjon
2019,INN,209714,Music Business - Production,Rena,25,False,False,Økonomi og administrasjon
2019,INN,209867,Ledelse og digitalisering,Rena,50,False,False,Økonomi og administrasjon
2019,NHH,191345,Siviløkonomutdanningen,Bergen,470,False,False,Økonomi og administrasjon
2019,NLA,254470,Økonomi og administrasjon,Oslo,40,False,False,Økonomi og administrasjon
2019,NLA,254895,Innovasjon og ledelse,Oslo,30,False,False,Økonomi og administrasjon
2019,NMBU,192199,Ettårig grunnstudium,Ås,40,False,False,"Samfunnsfag, psykologi"
2019,NMBU,192230,Eiendom,Ås,38,False,False,"Samfunnsfag, psykologi"
2019,NMBU,192233,Frie realfag,Ås,20,False,False,Matematikk og naturfag
2019,NMBU,192299,Bioteknologi,Ås,30,False,False,Matematikk og naturfag
