Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere;31;32;37;40;38;38;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Studieplasser;25;30;38;35;25;25;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);25,8 %;18,8 %;54,1 %;25,0 %;23,7 %;23,7 %;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Antall kvalifiserte;493;577;548;481;548;538;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Antall tilbud;120;150;130;150;150;150;36,2;32,5
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Alle søkere;1626;1696;1892;1760;1753;1737;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;133;168;156;136;158;160;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Studieplasser;45;50;76;70;70;70;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);29,3 %;39,3 %;32,1 %;30,1 %;24,7 %;26,9 %;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;1512;1567;1683;1582;1550;1533;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Antall tilbud;220;230;360;350;360;360;38,9;40,4
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Alle søkere;;;;1445;1504;1610;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Førstevalgssøkere;;;;124;102;117;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Studieplasser;;;;20;25;25;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;27,4 %;40,2 %;36,8 %;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Antall kvalifiserte;;;;1332;1435;1524;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Antall tilbud;;;;160;160;180;46,4;47,5
NLA Høgskolen;254369;Økonomi og administrasjon, Stavanger;Stavanger;Økonomisk-administrative fag;Alle søkere;;;;;345;461;0;0
NLA Høgskolen;254369;Økonomi og administrasjon, Stavanger;Stavanger;Økonomisk-administrative fag;Førstevalgssøkere;;;;;26;28;0;0
NLA Høgskolen;254369;Økonomi og administrasjon, Stavanger;Stavanger;Økonomisk-administrative fag;Studieplasser;;;;;25;25;0;0
NLA Høgskolen;254369;Økonomi og administrasjon, Stavanger;Stavanger;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;19,2 %;32,1 %;0;0
NLA Høgskolen;254369;Økonomi og administrasjon, Stavanger;Stavanger;Økonomisk-administrative fag;Antall kvalifiserte;;;;;292;410;0;0
NLA Høgskolen;254369;Økonomi og administrasjon, Stavanger;Stavanger;Økonomisk-administrative fag;Antall tilbud;;;;;81;111;0;0
Nord universitet;204164;Økonomi og administrasjon, Bodø, årsstudium;Bodø;Økonomisk-administrative fag;Alle søkere;390;296;235;255;161;184;0;0
Nord universitet;204164;Økonomi og administrasjon, Bodø, årsstudium;Bodø;Økonomisk-administrative fag;Førstevalgssøkere;52;42;40;43;39;21;0;0
Nord universitet;204164;Økonomi og administrasjon, Bodø, årsstudium;Bodø;Økonomisk-administrative fag;Studieplasser;50;40;40;40;40;30;0;0
Nord universitet;204164;Økonomi og administrasjon, Bodø, årsstudium;Bodø;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);55,8 %;52,4 %;50,0 %;48,8 %;43,6 %;52,4 %;0;0
Nord universitet;204164;Økonomi og administrasjon, Bodø, årsstudium;Bodø;Økonomisk-administrative fag;Antall kvalifiserte;363;275;219;234;152;171;0;0
Nord universitet;204164;Økonomi og administrasjon, Bodø, årsstudium;Bodø;Økonomisk-administrative fag;Antall tilbud;95;64;58;51;46;36;0;0
Nord universitet;204342;Økonomi og administrasjon, Bodø, bachelor;Bodø;Økonomisk-administrative fag;Alle søkere;533;459;437;510;381;449;0;0
Nord universitet;204342;Økonomi og administrasjon, Bodø, bachelor;Bodø;Økonomisk-administrative fag;Førstevalgssøkere;97;79;82;87;76;76;0;0
Nord universitet;204342;Økonomi og administrasjon, Bodø, bachelor;Bodø;Økonomisk-administrative fag;Studieplasser;60;70;70;60;50;60;0;0
Nord universitet;204342;Økonomi og administrasjon, Bodø, bachelor;Bodø;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);39,2 %;35,4 %;34,1 %;28,7 %;35,5 %;44,7 %;0;0
Nord universitet;204342;Økonomi og administrasjon, Bodø, bachelor;Bodø;Økonomisk-administrative fag;Antall kvalifiserte;495;419;398;455;351;403;0;0
Nord universitet;204342;Økonomi og administrasjon, Bodø, bachelor;Bodø;Økonomisk-administrative fag;Antall tilbud;140;100;100;144;104;116;0;0
Nord universitet;204345;Økonomi og administrasjon - siviløkonom;Bodø;Økonomisk-administrative fag;Alle søkere;358;328;312;225;254;217;0;0
Nord universitet;204345;Økonomi og administrasjon - siviløkonom;Bodø;Økonomisk-administrative fag;Førstevalgssøkere;36;26;32;33;38;26;0;0
