Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
Universitetet i Innlandet;209035;Økonomi og administrasjon, Lillehammer, bachelor;Lillehammer;Økonomisk-administrative fag;Studieplasser;70;80;85;80;80;80;43,3;44,6
Universitetet i Innlandet;209035;Økonomi og administrasjon, Lillehammer, bachelor;Lillehammer;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);37,9 %;37,3 %;39,5 %;38,8 %;36,7 %;27,0 %;43,3;44,6
Universitetet i Innlandet;209035;Økonomi og administrasjon, Lillehammer, bachelor;Lillehammer;Økonomisk-administrative fag;Antall kvalifiserte;968;847;674;881;726;920;43,3;44,6
Universitetet i Innlandet;209035;Økonomi og administrasjon, Lillehammer, bachelor;Lillehammer;Økonomisk-administrative fag;Antall tilbud;180;150;157;154;165;155;43,3;44,6
Universitetet i Innlandet;209232;Økonomi og administrasjon, Lillehammer, årsstudium;Lillehammer;Økonomisk-administrative fag;Alle søkere;473;284;332;401;279;349;36,9;43,7
Universitetet i Innlandet;209232;Økonomi og administrasjon, Lillehammer, årsstudium;Lillehammer;Økonomisk-administrative fag;Førstevalgssøkere;80;39;39;50;32;46;36,9;43,7
Universitetet i Innlandet;209232;Økonomi og administrasjon, Lillehammer, årsstudium;Lillehammer;Økonomisk-administrative fag;Studieplasser;20;20;20;20;20;20;36,9;43,7
Universitetet i Innlandet;209232;Økonomi og administrasjon, Lillehammer, årsstudium;Lillehammer;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);51,2 %;51,3 %;46,2 %;36,0 %;34,4 %;39,1 %;36,9;43,7
Universitetet i Innlandet;209232;Økonomi og administrasjon, Lillehammer, årsstudium;Lillehammer;Økonomisk-administrative fag;Antall kvalifiserte;459;274;310;380;263;323;36,9;43,7
Universitetet i Innlandet;209232;Økonomi og administrasjon, Lillehammer, årsstudium;Lillehammer;Økonomisk-administrative fag;Antall tilbud;50;65;41;50;60;60;36,9;43,7
Universitetet i Innlandet;209369;Økonomi og administrasjon, Rena, bachelor;Åmot;Økonomisk-administrative fag;Alle søkere;384;279;213;240;210;236;0;0
Universitetet i Innlandet;209369;Økonomi og administrasjon, Rena, bachelor;Åmot;Økonomisk-administrative fag;Førstevalgssøkere;38;18;23;21;22;27;0;0
Universitetet i Innlandet;209369;Økonomi og administrasjon, Rena, bachelor;Åmot;Økonomisk-administrative fag;Studieplasser;45;40;40;40;40;40;0;0
Universitetet i Innlandet;209369;Økonomi og administrasjon, Rena, bachelor;Åmot;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);42,1 %;33,3 %;30,4 %;28,6 %;27,3 %;55,6 %;0;0
Universitetet i Innlandet;209369;Økonomi og administrasjon, Rena, bachelor;Åmot;Økonomisk-administrative fag;Antall kvalifiserte;344;238;182;198;184;204;0;0
Universitetet i Innlandet;209369;Økonomi og administrasjon, Rena, bachelor;Åmot;Økonomisk-administrative fag;Antall tilbud;116;34;48;47;37;52;0;0
Universitetet i Innlandet;209515;Økonomi og administrasjon, deltid;Åmot;Økonomisk-administrative fag;Alle søkere;;2060;1911;2124;1750;1869;0;53,1
Universitetet i Innlandet;209515;Økonomi og administrasjon, deltid;Åmot;Økonomisk-administrative fag;Førstevalgssøkere;;492;423;451;364;369;0;53,1
Universitetet i Innlandet;209515;Økonomi og administrasjon, deltid;Åmot;Økonomisk-administrative fag;Studieplasser;;100;110;100;100;115;0;53,1
Universitetet i Innlandet;209515;Økonomi og administrasjon, deltid;Åmot;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;53,5 %;53,2 %;53,7 %;53,8 %;54,2 %;0;53,1
Universitetet i Innlandet;209515;Økonomi og administrasjon, deltid;Åmot;Økonomisk-administrative fag;Antall kvalifiserte;;1904;1783;1982;1638;1749;0;53,1
Universitetet i Innlandet;209515;Økonomi og administrasjon, deltid;Åmot;Økonomisk-administrative fag;Antall tilbud;;200;200;200;166;210;0;53,1
Universitetet i Innlandet;209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;Åmot;Økonomisk-administrative fag;Alle søkere;;;;;1845;1288;48,4;63
Universitetet i Innlandet;209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;Åmot;Økonomisk-administrative fag;Førstevalgssøkere;;;;;296;228;48,4;63
Universitetet i Innlandet;209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;Åmot;Økonomisk-administrative fag;Studieplasser;;;;;20;20;48,4;63
Universitetet i Innlandet;209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;Åmot;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;49,3 %;55,7 %;48,4;63
Universitetet i Innlandet;209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;Åmot;Økonomisk-administrative fag;Antall kvalifiserte;;;;;1730;1207;48,4;63
Universitetet i Innlandet;209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;Åmot;Økonomisk-administrative fag;Antall tilbud;;;;;35;30;48,4;63
Universitetet i Stavanger;217369;Økonomi og administrasjon;Stavanger;Økonomisk-administrative fag;Alle søkere;2807;2389;2361;2477;2624;3178;46,3;48
Universitetet i Stavanger;217369;Økonomi og administrasjon;Stavanger;Økonomisk-administrative fag;Førstevalgssøkere;564;553;587;483;546;674;46,3;48
Universitetet i Stavanger;217369;Økonomi og administrasjon;Stavanger;Økonomisk-administrative fag;Studieplasser;228;211;191;180;180;140;46,3;48
Universitetet i Stavanger;217369;Økonomi og administrasjon;Stavanger;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);38,8 %;37,8 %;41,2 %;37,1 %;38,1 %;38,0 %;46,3;48
Universitetet i Stavanger;217369;Økonomi og administrasjon;Stavanger;Økonomisk-administrative fag;Antall kvalifiserte;2647;2266;2189;2317;2433;2992;46,3;48
Universitetet i Stavanger;217369;Økonomi og administrasjon;Stavanger;Økonomisk-administrative fag;Antall tilbud;500;475;400;480;490;460;46,3;48
Universitetet i Sørøst-Norge;222345;Økonomi og administrasjon - siviløkonom;Ringerike;Økonomisk-administrative fag;Alle søkere;464;362;338;288;321;328;0;0
Universitetet i Sørøst-Norge;222345;Økonomi og administrasjon - siviløkonom;Ringerike;Økonomisk-administrative fag;Førstevalgssøkere;73;59;31;33;41;42;0;0
Universitetet i Sørøst-Norge;222345;Økonomi og administrasjon - siviløkonom;Ringerike;Økonomisk-administrative fag;Studieplasser;40;40;40;40;40;40;0;0
Universitetet i Sørøst-Norge;222345;Økonomi og administrasjon - siviløkonom;Ringerike;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);50,7 %;40,7 %;35,5 %;36,4 %;39,0 %;52,4 %;0;0
Universitetet i Sørøst-Norge;222345;Økonomi og administrasjon - siviløkonom;Ringerike;Økonomisk-administrative fag;Antall kvalifiserte;323;244;213;199;222;219;0;0
Universitetet i Sørøst-Norge;222345;Økonomi og administrasjon - siviløkonom;Ringerike;Økonomisk-administrative fag;Antall tilbud;131;83;74;82;76;93;0;0
Universitetet i Sørøst-Norge;222097;Økonomi og administrasjon, Hønefoss;Ringerike;Økonomisk-administrative fag;Alle søkere;;;;177;134;167;0;0
Universitetet i Sørøst-Norge;222097;Økonomi og administrasjon, Hønefoss;Ringerike;Økonomisk-administrative fag;Førstevalgssøkere;;;;22;13;20;0;0
Universitetet i Sørøst-Norge;222097;Økonomi og administrasjon, Hønefoss;Ringerike;Økonomisk-administrative fag;Studieplasser;;;;20;20;20;0;0
Universitetet i Sørøst-Norge;222097;Økonomi og administrasjon, Hønefoss;Ringerike;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;72,7 %;30,8 %;45,0 %;0;0
Universitetet i Sørøst-Norge;222097;Økonomi og administrasjon, Hønefoss;Ringerike;Økonomisk-administrative fag;Antall kvalifiserte;;;;162;115;146;0;0
Universitetet i Sørøst-Norge;222097;Økonomi og administrasjon, Hønefoss;Ringerike;Økonomisk-administrative fag;Antall tilbud;;;;42;27;35;0;0
Universitetet i Sørøst-Norge;222164;Økonomi og administrasjon, Bø;Midt-Telemark;Økonomisk-administrative fag;Alle søkere;;;;164;130;144;0;0
Universitetet i Sørøst-Norge;222164;Økonomi og administrasjon, Bø;Midt-Telemark;Økonomisk-administrative fag;Førstevalgssøkere;;;;25;22;29;0;0
Universitetet i Sørøst-Norge;222164;Økonomi og administrasjon, Bø;Midt-Telemark;Økonomisk-administrative fag;Studieplasser;;;;20;20;20;0;0
Universitetet i Sørøst-Norge;222164;Økonomi og administrasjon, Bø;Midt-Telemark;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;44,0 %;54,5 %;44,8 %;0;0
Universitetet i Sørøst-Norge;222164;Økonomi og administrasjon, Bø;Midt-Telemark;Økonomisk-administrative fag;Antall kvalifiserte;;;;148;119;128;0;0
Universitetet i Sørøst-Norge;222164;Økonomi og administrasjon, Bø;Midt-Telemark;Økonomisk-administrative fag;Antall tilbud;;;;38;20;45;0;0
Universitetet i Sørøst-Norge;222218;Økonomi og administrasjon, Hallingdal;Gol;Økonomisk-administrative fag;Alle søkere;;;;37;24;23;0;0
Universitetet i Sørøst-Norge;222218;Økonomi og administrasjon, Hallingdal;Gol;Økonomisk-administrative fag;Førstevalgssøkere;;;;6;6;6;0;0
Universitetet i Sørøst-Norge;222218;Økonomi og administrasjon, Hallingdal;Gol;Økonomisk-administrative fag;Studieplasser;;;;15;15;20;0;0
Universitetet i Sørøst-Norge;222218;Økonomi og administrasjon, Hallingdal;Gol;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;0,0 %;50,0 %;50,0 %;0;0
Universitetet i Sørøst-Norge;222218;Økonomi og administrasjon, Hallingdal;Gol;Økonomisk-administrative fag;Antall kvalifiserte;;;;31;22;21;0;0
Universitetet i Sørøst-Norge;222218;Økonomi og administrasjon, Hallingdal;Gol;Økonomisk-administrative fag;Antall tilbud;;;;6;6;6;0;0
Universitetet i Sørøst-Norge;222625;Økonomi og administrasjon, Kongsberg;Kongsberg;Økonomisk-administrative fag;Alle søkere;;;;;201;224;0;0
Universitetet i Sørøst-Norge;222625;Økonomi og administrasjon, Kongsberg;Kongsberg;Økonomisk-administrative fag;Førstevalgssøkere;;;;;25;22;0;0
Universitetet i Sørøst-Norge;222625;Økonomi og administrasjon, Kongsberg;Kongsberg;Økonomisk-administrative fag;Studieplasser;;;;;25;25;0;0
Universitetet i Sørøst-Norge;222625;Økonomi og administrasjon, Kongsberg;Kongsberg;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;56,0 %;68,2 %;0;0
Universitetet i Sørøst-Norge;222625;Økonomi og administrasjon, Kongsberg;Kongsberg;Økonomisk-administrative fag;Antall kvalifiserte;;;;;175;191;0;0
Universitetet i Sørøst-Norge;222625;Økonomi og administrasjon, Kongsberg;Kongsberg;Økonomisk-administrative fag;Antall tilbud;;;;;43;42;0;0
Norges teknisk-naturvitenskapelige universitet;194218;Økonomi og administrasjon, årsstudium;Trondheim;Økonomisk-administrative fag;Alle søkere;;;;;1310;; ;61,5
Norges teknisk-naturvitenskapelige universitet;194218;Økonomi og administrasjon, årsstudium;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere;;;;;218;; ;61,5
Norges teknisk-naturvitenskapelige universitet;194218;Økonomi og administrasjon, årsstudium;Trondheim;Økonomisk-administrative fag;Studieplasser;;;;;40;; ;61,5
Norges teknisk-naturvitenskapelige universitet;194218;Økonomi og administrasjon, årsstudium;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;54,6 %;; ;61,5
Norges teknisk-naturvitenskapelige universitet;194218;Økonomi og administrasjon, årsstudium;Trondheim;Økonomisk-administrative fag;Antall kvalifiserte;;;;;1286;; ;61,5
Norges teknisk-naturvitenskapelige universitet;194218;Økonomi og administrasjon, årsstudium;Trondheim;Økonomisk-administrative fag;Antall tilbud;;;;;86;; ;61,5
Universitetet i Sørøst-Norge;222398;Økonomi og administrasjon, deltid;Gol;Økonomisk-administrative fag;Alle søkere;;;;;75;; ;0
Universitetet i Sørøst-Norge;222398;Økonomi og administrasjon, deltid;Gol;Økonomisk-administrative fag;Førstevalgssøkere;;;;;13;; ;0
Universitetet i Sørøst-Norge;222398;Økonomi og administrasjon, deltid;Gol;Økonomisk-administrative fag;Studieplasser;;;;;20;; ;0
Universitetet i Sørøst-Norge;222398;Økonomi og administrasjon, deltid;Gol;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;69,2 %;; ;0
Universitetet i Sørøst-Norge;222398;Økonomi og administrasjon, deltid;Gol;Økonomisk-administrative fag;Antall kvalifiserte;;;;;68;; ;0
Universitetet i Sørøst-Norge;222398;Økonomi og administrasjon, deltid;Gol;Økonomisk-administrative fag;Antall tilbud;;;;;14;; ;0
