;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Sum høst;;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;Bokstav;Tall;;
;;;;;;;;Antallet studenter med vurdering i emnet;48;52;45;17;31;22;71;27;19;14;44;42;15;13;18;37;32;29;43;10;19;18;;;5;28;12;9;7;33;5;29;14;20;14;28;67;4;9;9;6;17;;27;1;2;2;27;2;29;69;1;6;1;2;9;2;;A;5;;
;;;;;;;;Studiepoeng emne;10;10;5;5;5;10;10;5;10;10;5;10;10;10;10;10;5;10;10;5;10;10;;;10;10;10;5;10;5;10;10;10;10;5;10;5;10;10;10;5;10;;10;5;5;10;10;5;10;10;10;10;10;10;10;10;;B;4;;Antall emner
Studieprogram;studentnr;;;;karakter;Tallkarakter master;;Emnekode;AOS325;AOS337;AOS340;BUS211;BUS234;BUS313;BUS315;BUS316;BUS322;BUS325;BUS328;BUS329;BUS338;BUS340;ECN201;ECN280;ECN320;ECN372;ECN380;INN200;INN354;INN360;;;BUS210;BUS215;BUS220;BUS234;BUS260;BUS311;BUS313;BUS323;BUS325;BUS335;BUS336;BUS340;BUS360;ECN271;ECN280;ECN375;INN351;INN365;;AOS325;BUS180;BUS211;BUS220;BUS313;BUS316;BUS322;BUS335;BUS340;ECN201;ECN215;ECN311;ECN372;INN341;;C;3;;
M30-BIOEC;94;;;;A;5;;;B;;;;;;A;;;;;;;;;;;;;;;; 4,50 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;95;;;;A;5;;;C;;;;;;B;;;;;;;;;;;;;;;; 3,50 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;96;;;;A;5;;;;;A;;;;B;;;;;;;;;;;;;;;; 4,33 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;97;;;;B;4;;;B;;;;;;B;;;;;;;;;B;;A;A;;;; 4,40 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;98;;;;B;4;;;A;;;;;;B;;;;;;B;;;B;;;B;;;; 4,20 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;99;;;;B;4;;;0;;;;;;B;;;;;;0;;;A;;;B;;;; 4,33 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;100;;;;B;4;;;B;;;;;;B;;;;;;;;;;;;;;;; 4,00 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;101;;;;C;3;;;B;;;;;;A;;;;;;;;;C;;;A;;C;; 4,00 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;102;;;;B;4;;;;;;;;;C;;;;;;;;;;;;;;;; 3,00 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;103;;;;B;4;;;B;;;;;;B;;;;;;;;;C;;;B;;;; 3,75 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;104;;;;A;5;;;;;;;;;A;;;;;;C;;B;C;;;B;;;; 3,80 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;M30-BIOEC;4,29;Snittkarakter masteroppgave;;;;;;;;;;;;;;;;;;;;;;Gjennomsnitt emner før masteroppgave;; 4,02 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;M30-BIOEC; 0,27 ;Differanse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Sum høst;;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;Antall emner med karakter;;Bokstav;Tall;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Antallet studenter med vurdering i emnet;18;15;6;7;22;17;11;20;;;8;3;;14;10;24;27;;;;A;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Studiepoeng emne;5;10;5;10;5;10;10;10;0;;5;10;;5;10;5;15;;;;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Studieprogram;Studentnummer;;;;Bokstavkarakter;Tallkarakter;;;AOS230;AOS237;AOS240;AOS337;AOS340;BUS313;INN354;INN360;;;AOS120;INN365;;AOS240;AOS337;BUS211;INN340;;;;C;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;105;;;;A;5;;;B;;;;B;;B;A;;;;;;;;;A; 4,29 ;7;;D;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;106;;;;A;5;;;;C;;;A;;;;;;C;C;;;;C;B; 3,33 ;8;;E;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;107;;;;C;3;;;E;;;;B;;;;;;;;;;;;B; 2,50 ;5;;F;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;108;;;;C;3;;;C;;;;C;;;;;;;;;B;;;B; 3,50 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;109;;;;A;5;;;A;;;;A;;A;A;;;;;;;;0;A; 5,00 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;110;;;;B;4;;;C;;;B;;;;;;;;;;B;;;A; 3,83 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;111;;;;A;5;;;D;C;;;B;;;;;;;;;;;C;B; 3,00 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;112;;;;B;4;;;D;;;;C;;A;B;;;;;;;;E;A; 3,11 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;113;;;;A;5;;;;;;;;;;;;;;;;;;;;  ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;114;;;;A;5;;;D;C;;;C;;;;;;;;;;;B;A; 3,25 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;115;;;;A;5;;;E;B;;;B;C;;;;;;;;;;B;B; 3,20 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;116;;;;B;4;;;B;B;;;B;;;;;;;;;;B;;A; 4,13 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;117;;;;C;3;;;E;;;;C;B;;;;;;;;;;C;B; 2,88 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;118;;;;B;4;;;;B;;B;A;;;A;;;;D;;;;;B; 3,75 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;119;;;;A;5;;;;A;;;A;;;;;;;;;B;;B;A; 4,50 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;120;;;;A;5;;;C;B;;;A;;;;;;;;;;;B;B; 3,88 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;121;;;;A;5;;;;0;;;B;;;A;;;;;;;;C;A; 4,00 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;122;;;;?;;;;;;B;;B;;;C;;;;;;0;;;D;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-EI;123;;;;B;4;;;D;A;;;B;;;;;;;;;;A;;A; 4,13 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;M30-EI;4,39;Snittkarakter masteroppgave;;;;;;;;;;;;;;;;;Gjennomsnitt emner før masteroppgave;; 3,66 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;M30-EI; 0,73 ;Differanse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Sum høst;;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;;;Bokstav;Tall;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Antallet studenter med vurdering i emnet;1;1;1;1;1;11;4;10;2;2;3;;;6;4;9;5;9;1;1;4;1;;1;5;1;10;2;6;1;;;;A;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Studiepoeng emne;5;10;10;5;10;5;10;5;10;10;10;;;5;10;5;10;10;5;10;10;5;;10;10;5;10;5;10;10;;Antall emner med karakter;;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
Studieprogram;Studentnummer;;;;Bokstavkarakter;Tallkarakter;;Emne;BUS211;BUS315;BUS322;BUS328;ECN230;ECN303;ECN311;ECN320;ECN330;ECN372;ECN380;;;BUS311;BUS323;BUS360;ECN280;ECN301;ECN303;ECN311;ECN375;ECN376;;AOS325;BUS322;ECN303;ECN311;ECN320;ECN372;ECN380;;;;C;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;124;;;;C;3;;;;;;;;D;E;C;;;;;;;D;C;;B;;;;;;C;C;;E;;;; 2,33 ;9;;D;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;125;;;;A;5;;;;;;;;A;;C;B;;C;;;;;B;A;A;;;A;;;;;;A;;A;; 4,53 ;10;;E;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;126;;;;B;4;;;;;;;;D;E;C;;B;;;;C;;C;D;C;;;C;;;;;;E;;D;; 2,45 ;11;;F;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;127;;;;A;5;;;;;;B;C;D;D;B;;;;;;;B;B;;B;;;;;;;C;;E;;;; 3,00 ;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;128;;;;A;5;;;;;;;;C;;C;;;;;;B;;B;C;C;;;C;;;;;;B;;C;E; 3,24 ;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;129;;;;?;;;;;F;F;;;F;;;;;F;;;;;;F;;F;F;;;;;F;F;F;F;E;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;130;;;;C;3;;;;;;;;D;F;C;C;;;;;;;;;;;;;;;;;;;E;;; 1,75 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;131;;;;B;4;;;;;;;;D;;D;;C;;;;A;;B;C;C;;;C;;;;;;B;;C;; 3,28 ;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;132;;;;A;5;;;B;;;;;C;;D;;;;;;B;B;B;;C;;;;;;;C;;B;;;; 3,53 ;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;133;;;;A;5;;;;;;;;C;;B;;;C;;;B;;B;;A;;;;C;;;;;D;;B;; 3,56 ;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ECON;134;;;;A;5;;;;;;;;C;;B;;;;;;B;B;A;;B;;;;;;;D;;C;;;; 3,60 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;M30-ECON;4,4;Snittkarakter masteroppgave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gjennomsnitt emner før masteroppgave;; 3,13 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;M30-ECON; 1,27 ;Differanse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
