Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026
Universitetet i Oslo;185369;Økonomi og finans;Oslo;Økonomisk-administrative fag;Alle søkere;;;;;;3 396
Universitetet i Oslo;185369;Økonomi og finans;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;;;;;;583
Universitetet i Oslo;185369;Økonomi og finans;Oslo;Økonomisk-administrative fag;Studieplasser;;;;;;30
Universitetet i Oslo;185369;Økonomi og finans;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;;26,6 %
;;;;;;;;;;;
;;;;;;;;;;;
Studiekode;Studienavn;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;;;
185 369;Økonomi og finans;UIO;Oslo;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;53,6;;;
185 369;Økonomi og finans;UIO;Oslo;ØKADM;Ordinær kvote;Hovedopptak;2026;63,4;;;
