Emne;Studiested (kort);Studiested (fullt navn);Emnekode;Offisielt emnenavn (Karakterweb);År;Semester (ordinær);Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Mikroøkonomi;HIØ;Høgskolen i Østfold;SFB10916;Makroøkonomi;2024;Vår;138;A-F;2.32;25.4;3;15;24;31;30;35;;;
Mikroøkonomi;HIØ;Høgskolen i Østfold;SFB10916;Makroøkonomi;2025;Vår;174;A-F;2.52;24.1;11;22;28;34;37;42;;;
Mikroøkonomi;HVL;Høgskulen på Vestlandet;BØA203;Mikroøkonomi 1;2023;Høst;345;A-F;2.98;22.0;35;59;77;61;37;76;;;
Mikroøkonomi;HVL;Høgskulen på Vestlandet;BØA203;Mikroøkonomi 1;2024;Høst;283;A-F;3.01;20.8;31;65;46;39;43;59;;;
Mikroøkonomi;HVL;Høgskulen på Vestlandet;BØA203;Mikroøkonomi 1;2025;Høst;284;A-F;3.17;12.3;30;82;67;40;30;35;;;
Mikroøkonomi;HiMolde;Høgskolen i Molde;SØK200;Mikroøkonomi;2023;Vår;48;A-F;3.03;22.9;9;8;6;3;11;11;;;
Mikroøkonomi;HiMolde;Høgskolen i Molde;SØK200;Mikroøkonomi;2024;Vår;98;A-F;2.58;26.5;4;16;17;16;19;26;;;
Mikroøkonomi;HiMolde;Høgskolen i Molde;SØK200;Mikroøkonomi;2025;Vår;150;A-F;2.74;26.0;19;16;26;17;33;39;;;
Mikroøkonomi;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1020;Mikroøkonomi 1;2025;Vår;76;A-F;2.64;38.2;8;6;10;7;16;29;;;
Mikroøkonomi;INN Rena;Høgskolen i Innlandet (Rena);3SAM120;Mikroøkonomi;2025;Vår;49;A-F;1.81;57.1;0;0;5;7;9;28;;;
Mikroøkonomi;Kristiania;Høyskolen Kristiania;MIO1100;Mikroøkonomi;2023;Vår;135;A-F;3.3;0;15;57;29;22;12;0;;;
Mikroøkonomi;Kristiania;Høyskolen Kristiania;MIO1100;Mikroøkonomi;2024;Vår;106;A-F;3.53;0;13;34;55;4;0;0;;;
Mikroøkonomi;Kristiania;Høyskolen Kristiania;MIO1100;Mikroøkonomi;2025;Vår;99;A-F;3.87;0;16;60;17;6;0;0;;;
Mikroøkonomi;NHH;Norges Handelshøyskole;SAM2;Mikroøkonomi;2023;Vår;476;A-F;3.61;6.3;157;101;90;55;43;30;;;
Mikroøkonomi;NHH;Norges Handelshøyskole;SAM2;Mikroøkonomi;2024;Vår;421;A-F;3.68;1.9;106;157;82;47;21;8;;;
Mikroøkonomi;NHH;Norges Handelshøyskole;SAM2;Mikroøkonomi;2025;Vår;422;A-F;4.49;1.9;285;71;36;18;4;8;;;
Mikroøkonomi;NLA;NLA Høgskolen;ØKAD223;Mikroøkonomi;2025;Vår;85;A-F;2.43;37.6;8;4;9;14;18;32;;;
Mikroøkonomi;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);ECN210;Mikroøkonomi I - Konsument, produsent, marked og velferd;2023;Vår;82;A-F;3.26;14.6;7;21;25;17;0;12;;;
Mikroøkonomi;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);ECN210;Mikroøkonomi I - Konsument, produsent, marked og velferd;2024;Vår;94;A-F;2.74;14.9;12;8;26;15;19;14;;;
Mikroøkonomi;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);ECN210;Mikroøkonomi I - Konsument, produsent, marked og velferd;2025;Vår;128;A-F;2.45;13.3;4;14;37;29;27;17;;;
Mikroøkonomi;NORD;Nord universitet;ECO1001;Samfunnsøkonomi, mikro;2023;Høst;139;A-F;2.72;12.2;9;13;52;31;17;17;;;
Mikroøkonomi;NORD;Nord universitet;ECO1001;Samfunnsøkonomi, mikro;2024;Høst;122;A-F;3.07;30.3;18;21;12;17;17;37;;;
Mikroøkonomi;NORD;Nord universitet;ECO1001;Samfunnsøkonomi, mikro;2025;Høst;136;A-F;2.78;40.4;19;9;12;17;24;55;;;
Mikroøkonomi;NTNU Gjøvik;NTNU (Gjøvik);SMF2291;Mikroøkonomi;2023;Vår;72;A-F;1.9;29.2;0;3;6;25;17;21;;;
Mikroøkonomi;NTNU Gjøvik;NTNU (Gjøvik);SMF2291;Mikroøkonomi;2024;Vår;94;A-F;2.14;38.3;5;4;8;18;23;36;;;
Mikroøkonomi;NTNU Gjøvik;NTNU (Gjøvik);SMF2291;Mikroøkonomi;2025;Vår;75;A-F;2.15;26.7;3;8;7;13;24;20;;;
Mikroøkonomi;NTNU Trondheim;NTNU (Trondheim);SMØ1001;Mikroøkonomi;2023;Vår;276;A-F;2.84;15.6;7;50;101;49;26;43;;;
Mikroøkonomi;NTNU Trondheim;NTNU (Trondheim);SMØ1001;Mikroøkonomi;2024;Vår;327;A-F;3.01;18.0;31;67;82;50;38;59;;;
Mikroøkonomi;NTNU Trondheim;NTNU (Trondheim);SMØ1001;Mikroøkonomi;2025;Vår;301;A-F;3.12;11.6;36;65;88;49;28;35;;;
Mikroøkonomi;NTNU Ålesund;NTNU (Ålesund);AE201615;Mikroøkonomi;2023;Vår;76;A-F;2.04;36.8;0;5;10;15;18;28;;;
Mikroøkonomi;NTNU Ålesund;NTNU (Ålesund);AE201615;Mikroøkonomi;2024;Vår;66;A-F;2.48;30.3;5;5;12;9;15;20;;;
Mikroøkonomi;NTNU Ålesund;NTNU (Ålesund);AE201615;Mikroøkonomi;2025;Vår;83;A-F;2.63;28.9;8;9;11;15;16;24;;;
Mikroøkonomi;ONH;Oslo Nye Høyskole;ØKAD1230;Mikroøkonomi;2023;Vår;70;A-F;3.57;0;14;22;24;10;0;0;;;
Mikroøkonomi;ONH;Oslo Nye Høyskole;ØKAD1230;Mikroøkonomi;2024;Vår;104;A-F;2.38;0;3;15;27;33;26;0;;;
Mikroøkonomi;ONH;Oslo Nye Høyskole;ØKAD1230;Mikroøkonomi;2025;Vår;78;A-F;3.14;0;15;18;19;15;11;0;;;
Mikroøkonomi;OsloMet;OsloMet – storbyuniversitetet;ØASØK1100;Makroøkonomi I;2023;Vår;230;A-F;2.86;4.8;19;40;74;63;23;11;;;
Mikroøkonomi;OsloMet;OsloMet – storbyuniversitetet;ØASØK1100;Makroøkonomi I;2024;Vår;371;A-F;3.08;6.5;43;90;106;69;39;24;;;
Mikroøkonomi;OsloMet;OsloMet – storbyuniversitetet;ØASØK1100;Makroøkonomi I;2025;Vår;337;A-F;3.11;12.2;44;72;77;78;25;41;;;
Mikroøkonomi;USN;Universitetet i Sørøst-Norge;SØK1000;Mikroøkonomi;2024;Høst;370;A-F;2.92;25.7;44;50;74;53;54;95;;;
Mikroøkonomi;USN;Universitetet i Sørøst-Norge;SØK1000;Mikroøkonomi;2025;Høst;457;A-F;2.55;30.2;23;39;98;91;68;138;;;
Mikroøkonomi;UiA;Universitetet i Agder;SE-213;Mikroøkonomi;2023;Høst;197;A-F;2.64;3.5;14;31;50;62;33;7;;;
Mikroøkonomi;UiA;Universitetet i Agder;SE-213;Mikroøkonomi;2024;Høst;198;A-F;3.2;8.6;30;52;43;37;19;17;;;
Mikroøkonomi;UiA;Universitetet i Agder;SE-213;Mikroøkonomi;2025;Høst;220;A-F;3.06;2.7;28;45;70;53;18;6;;;
Mikroøkonomi;UiS;Universitetet i Stavanger;BØK265;Mikroøkonomi;2023;Vår;235;A-F;2.7;24.3;26;32;32;38;50;57;;;
Mikroøkonomi;UiS;Universitetet i Stavanger;BØK265;Mikroøkonomi;2024;Vår;268;A-F;2.85;10.8;18;58;72;52;39;29;;;
Mikroøkonomi;UiS;Universitetet i Stavanger;BØK265;Mikroøkonomi;2025;Vår;246;A-F;2.83;6.9;17;49;77;49;37;17;;;
Mikroøkonomi;UiT;UiT Norges arktiske universitet;SOK-1010;Makroøkonomisk analyse og økonomisk politikk;2023;Vår;125;A-F;2.29;12.0;10;12;18;30;40;15;;;
Mikroøkonomi;UiT;UiT Norges arktiske universitet;SOK-1010;Makroøkonomisk analyse og økonomisk politikk;2024;Vår;125;A-F;3.06;8.0;15;28;35;23;14;10;;;
Mikroøkonomi;UiT;UiT Norges arktiske universitet;SOK-1010;Makroøkonomisk analyse og økonomisk politikk;2025;Vår;140;A-F;2.96;3.6;10;27;63;18;17;5;;;
Organisasjon og ledelse;BI;Handelshøyskolen BI;org34031;Organisasjonsatferd og ledelse;2023;Høst;3088;A-F;2.15;14.9;38;215;630;958;787;460;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'org34031' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Organisasjon og ledelse;BI;Handelshøyskolen BI;org34031;Organisasjonsatferd og ledelse;2024;Høst;3638;A-F;2.08;19.5;78;248;572;975;1056;709;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'org34031' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Organisasjon og ledelse;BI;Handelshøyskolen BI;org34031;Organisasjonsatferd og ledelse;2025;Høst;3290;A-F;2.1;13.7;42;196;588;1196;818;450;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'org34031' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Organisasjon og ledelse;HIØ;Høgskolen i Østfold;SFB10120;Organisasjonsteori;2023;Vår;128;A-F;3.2;0;4;47;51;22;4;0;;;
Organisasjon og ledelse;HIØ;Høgskolen i Østfold;SFB10120;Organisasjonsteori;2024;Vår;141;A-F;2.88;0;0;37;57;40;7;0;;;
Organisasjon og ledelse;HIØ;Høgskolen i Østfold;SFB10120;Organisasjonsteori;2025;Vår;175;A-F;3.22;0;11;51;86;20;7;0;;;
Organisasjon og ledelse;HVL;Høgskulen på Vestlandet;BØA112;Organisasjon og ledelse;2023;Høst;377;A-F;2.53;13.3;18;54;90;85;80;50;;;
Organisasjon og ledelse;HVL;Høgskulen på Vestlandet;BØA112;Organisasjon og ledelse;2024;Høst;388;A-F;2.58;13.1;17;67;90;84;79;51;;;
Organisasjon og ledelse;HVL;Høgskulen på Vestlandet;BØA112;Organisasjon og ledelse;2025;Høst;387;A-F;2.71;10.8;28;76;84;83;74;42;;;
Organisasjon og ledelse;HiMolde;Høgskolen i Molde;ADM100;Organisasjonsteori og -psykologi;2023;Høst;214;A-F;2.94;10.8;28;34;55;47;27;23;;;
Organisasjon og ledelse;HiMolde;Høgskolen i Molde;ADM100;Organisasjonsteori og -psykologi;2024;Høst;239;A-F;2.74;18.4;27;37;39;42;50;44;;;
Organisasjon og ledelse;HiMolde;Høgskolen i Molde;ADM100;Organisasjonsteori og -psykologi;2025;Høst;224;A-F;2.62;15.2;15;30;55;47;43;34;;;
Organisasjon og ledelse;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1017;Organisasjonsforståelse;2025;Vår;62;A-H;;0;0;0;0;0;0;0;62;0;
Organisasjon og ledelse;INN Rena;Høgskolen i Innlandet (Rena);3ORG100;Organisasjonsforståelse;2025;Høst;85;G-H;;3.5;;;;;;;82;3;
Organisasjon og ledelse;Kristiania;Høyskolen Kristiania;OOL1101;Organisasjon og ledelse;2023;Vår;169;A-H;3.67;22.5;7;7;0;7;0;3;110;35;
Organisasjon og ledelse;Kristiania;Høyskolen Kristiania;OOL1101;Organisasjon og ledelse;2024;Vår;252;A-H;3.65;1.6;40;112;54;27;5;4;10;0;
Organisasjon og ledelse;Kristiania;Høyskolen Kristiania;OOL1101;Organisasjon og ledelse;2025;Vår;209;A-F;3.71;0;33;100;59;17;0;0;;;
Organisasjon og ledelse;NHH;Norges Handelshøyskole;SOL3;Organisasjonen;2023;Høst;419;A-F;3.47;0;47;162;156;50;4;0;;;
Organisasjon og ledelse;NHH;Norges Handelshøyskole;SOL3;Organisasjonen;2024;Høst;456;A-F;3.41;0;37;183;173;56;7;0;;;
Organisasjon og ledelse;NHH;Norges Handelshøyskole;SOL3;Organisasjonen;2025;Høst;399;A-F;3.9;0;100;186;89;21;3;0;;;
Organisasjon og ledelse;NLA;NLA Høgskolen;HSM121;Innføring i organisasjon, ledelse og etikk;2023;Høst;202;A-F;3.49;0;19;81;82;20;0;0;;;
Organisasjon og ledelse;NLA;NLA Høgskolen;HSM121;Innføring i organisasjon, ledelse og etikk;2024;Høst;296;A-F;3.65;0;35;141;106;10;4;0;;;
Organisasjon og ledelse;NLA;NLA Høgskolen;HSM121;Innføring i organisasjon, ledelse og etikk;2025;Høst;370;A-F;3.69;0;53;178;117;17;5;0;;;
Organisasjon og ledelse;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS130;Innføring i organisasjonsteori;2023;Vår;101;A-F;2.82;12.9;8;15;31;21;13;13;;;
Organisasjon og ledelse;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS130;Innføring i organisasjonsteori;2024;Vår;149;A-F;2.81;5.4;10;27;52;30;22;8;;;
Organisasjon og ledelse;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS130;Innføring i organisasjonsteori;2025;Vår;150;A-F;3.37;4.0;18;51;46;24;5;6;;;
Organisasjon og ledelse;NORD;Nord universitet;ORG1001;Organisasjon;2023;Vår;148;A-F;3.01;4.0;14;35;44;36;13;6;;;
Organisasjon og ledelse;NORD;Nord universitet;ORG1001;Organisasjon;2024;Vår;126;A-F;2.75;18.2;13;19;24;23;24;23;;;
Organisasjon og ledelse;NORD;Nord universitet;ORG1001;Organisasjon;2025;Vår;155;A-F;3.15;8.4;21;36;45;23;17;13;;;
Organisasjon og ledelse;NTNU Gjøvik;NTNU (Gjøvik);SMF1193;Organisasjon og ledelse;2023;Høst;120;A-F;3.21;7.5;21;22;35;25;8;9;;;
Organisasjon og ledelse;NTNU Gjøvik;NTNU (Gjøvik);SMF1193;Organisasjon og ledelse;2024;Høst;155;A-F;3.13;2.6;21;43;36;37;14;4;;;
Organisasjon og ledelse;NTNU Gjøvik;NTNU (Gjøvik);SMF1193;Organisasjon og ledelse;2025;Høst;129;A-F;3.54;2.3;35;32;32;20;7;3;;;
Organisasjon og ledelse;NTNU Trondheim;NTNU (Trondheim);ORG1100;Organisasjon og ledelse;2023;Høst;377;A-F;3.11;4.0;24;109;130;80;19;15;;;
Organisasjon og ledelse;NTNU Trondheim;NTNU (Trondheim);ORG1100;Organisasjon og ledelse;2024;Høst;417;A-F;3.44;0.7;61;146;133;63;11;3;;;
Organisasjon og ledelse;NTNU Trondheim;NTNU (Trondheim);ORG1100;Organisasjon og ledelse;2025;Høst;331;A-F;3.25;0.9;44;77;135;60;12;3;;;
Organisasjon og ledelse;NTNU Ålesund;NTNU (Ålesund);AL101115;Organisasjon og ledelse;2023;Høst;135;A-F;3.12;5.2;13;31;50;26;8;7;;;
Organisasjon og ledelse;NTNU Ålesund;NTNU (Ålesund);AL101115;Organisasjon og ledelse;2024;Høst;146;A-F;2.37;8.9;3;14;44;40;32;13;;;
Organisasjon og ledelse;NTNU Ålesund;NTNU (Ålesund);AL101115;Organisasjon og ledelse;2025;Høst;153;A-F;2.81;12.4;9;30;41;35;19;19;;;
Organisasjon og ledelse;ONH;Oslo Nye Høyskole;ØKAD1130;Organisasjon og ledelse;2023;Høst;138;A-F;3.19;0;23;25;55;25;10;0;;;
Organisasjon og ledelse;ONH;Oslo Nye Høyskole;ØKAD1130;Organisasjon og ledelse;2024;Høst;202;A-F;3.5;0;34;66;73;25;4;0;;;
Organisasjon og ledelse;ONH;Oslo Nye Høyskole;ØKAD1130;Organisasjon og ledelse;2025;Høst;239;A-F;3.39;0;36;82;76;30;15;0;;;
Organisasjon og ledelse;OsloMet;OsloMet – storbyuniversitetet;ØAADM2100;Organisasjonsforståelse;2023;Høst;241;A-F;3.69;0;26;119;91;5;0;0;;;
Organisasjon og ledelse;OsloMet;OsloMet – storbyuniversitetet;ØAADM2100;Organisasjonsforståelse;2024;Høst;326;A-F;3.23;0.9;27;85;154;50;7;3;;;
Organisasjon og ledelse;OsloMet;OsloMet – storbyuniversitetet;ØAADM2100;Organisasjonsforståelse;2025;Høst;301;A-F;3.35;1.3;34;84;134;41;4;4;;;
Organisasjon og ledelse;USN;Universitetet i Sørøst-Norge;ORL1000;Organisering og ledelse;2023;Vår;701;A-F;2.55;6.0;28;90;204;229;108;42;;;
Organisasjon og ledelse;USN;Universitetet i Sørøst-Norge;ORL1000;Organisering og ledelse;2024;Vår;646;A-F;2.73;6.7;30;123;181;192;77;43;;;
Organisasjon og ledelse;USN;Universitetet i Sørøst-Norge;ORL1000;Organisering og ledelse;2025;Vår;739;A-F;2.46;13.9;19;75;210;207;125;103;;;
Organisasjon og ledelse;UiA;Universitetet i Agder;ORG109;Organisasjonsteori;2023;Høst;315;A-F;3.01;1.3;7;70;166;55;13;4;;;
Organisasjon og ledelse;UiA;Universitetet i Agder;ORG109;Organisasjonsteori;2024;Høst;335;A-F;3.04;1.2;16;95;119;87;14;4;;;
Organisasjon og ledelse;UiA;Universitetet i Agder;ORG109;Organisasjonsteori;2025;Høst;353;A-F;3.02;2.0;16;82;158;74;16;7;;;
Organisasjon og ledelse;UiS;Universitetet i Stavanger;BØK415;Ledelse og organisasjonspsykologi;2023;Høst;46;A-F;3.46;0;7;12;22;5;0;0;;;
Organisasjon og ledelse;UiS;Universitetet i Stavanger;BØK415;Ledelse og organisasjonspsykologi;2024;Høst;215;A-F;3.59;2.8;53;60;65;20;11;6;;;
Organisasjon og ledelse;UiS;Universitetet i Stavanger;BØK415;Ledelse og organisasjonspsykologi;2025;Høst;243;A-F;3.33;2.1;27;87;71;43;10;5;;;
Organisasjon og ledelse;UiT;UiT Norges arktiske universitet;BED-2302;Organisasjonsteori og ledelse;2025;Høst;180;A-F;2.71;17.8;13;29;40;34;32;32;;;
Samfunnsvitenskapelig metode;BI;Handelshøyskolen BI;met35901;Metode og statist. dataanalyse;2023;Vår;1009;A-F;3.65;13.3;327;209;137;107;95;134;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'met35901' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Samfunnsvitenskapelig metode;BI;Handelshøyskolen BI;met35901;Metode og statist. dataanalyse;2024;Vår;1057;A-F;3.3;15.2;210;238;185;139;124;161;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'met35901' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Samfunnsvitenskapelig metode;BI;Handelshøyskolen BI;met35901;Metode og statist. dataanalyse;2025;Høst;1264;A-F;3.15;18.3;198;263;227;190;155;231;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'met35901' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Samfunnsvitenskapelig metode;HIØ;Høgskolen i Østfold;ØKA120;Statistikk og samfunnsvitenskapelig metode;2023;Høst;91;A-F;3.26;25.3;11;18;20;16;3;23;;;
Samfunnsvitenskapelig metode;HIØ;Høgskolen i Østfold;ØKA120;Statistikk og samfunnsvitenskapelig metode;2024;Høst;125;A-F;2.61;32.0;5;6;31;37;6;40;;;
Samfunnsvitenskapelig metode;HIØ;Høgskolen i Østfold;ØKA120;Statistikk og samfunnsvitenskapelig metode;2025;Høst;164;A-F;2.66;40.8;4;21;27;28;17;67;;;
Samfunnsvitenskapelig metode;HVL;Høgskulen på Vestlandet;ØMO111;Samfunnsvitenskapelig metode;2023;Høst;106;A-F;2.88;3.8;5;24;42;16;15;4;;;
Samfunnsvitenskapelig metode;HVL;Høgskulen på Vestlandet;ØMO111;Samfunnsvitenskapelig metode;2024;Høst;129;A-F;2.68;14.0;4;21;39;29;18;18;;;
Samfunnsvitenskapelig metode;HVL;Høgskulen på Vestlandet;ØMO111;Samfunnsvitenskapelig metode;2025;Høst;129;A-F;3.02;4.7;7;29;53;27;7;6;;;
Samfunnsvitenskapelig metode;HiMolde;Høgskolen i Molde;ADM201;Innføring i samfunnsvitenskapelig metode;2023;Vår;88;A-F;3.49;15.9;6;31;30;7;0;14;;;
Samfunnsvitenskapelig metode;HiMolde;Høgskolen i Molde;ADM201;Innføring i samfunnsvitenskapelig metode;2024;Vår;87;A-F;3.7;20.7;14;27;21;7;0;18;;;
Samfunnsvitenskapelig metode;HiMolde;Høgskolen i Molde;ADM201;Innføring i samfunnsvitenskapelig metode;2025;Vår;127;A-F;3.71;22.8;20;38;32;8;0;29;;;
Samfunnsvitenskapelig metode;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1023;Samfunnsvitenskapelig metode;2025;Høst;53;A-F;2.74;5.7;0;14;17;11;8;3;;;
Samfunnsvitenskapelig metode;INN Rena;Høgskolen i Innlandet (Rena);3MET200;Samfunnsvitenskapelig metode;2025;Høst;88;A-F;2.49;0;0;6;43;27;12;0;;;
Samfunnsvitenskapelig metode;Kristiania;Høyskolen Kristiania;MOD3101;Metode og dataanalyse;2025;Høst;88;A-F;3.47;0;20;19;31;18;0;0;;;
Samfunnsvitenskapelig metode;NHH;Norges Handelshøyskole;MET4;Empiriske metoder;2023;Vår;253;A-F;3.66;2.4;48;93;79;27;0;6;;;
Samfunnsvitenskapelig metode;NHH;Norges Handelshøyskole;MET4;Empiriske metoder;2024;Vår;309;A-F;3.46;0;32;129;96;52;0;0;;;
Samfunnsvitenskapelig metode;NHH;Norges Handelshøyskole;MET4;Empiriske metoder;2025;Vår;238;A-F;3.65;1.7;77;58;53;32;14;4;;;
Samfunnsvitenskapelig metode;NLA;NLA Høgskolen;HSM126;Innføring i statistikk med forskningsmetode;2024;Vår;164;A-F;2.89;1.8;11;29;70;34;17;3;;;
Samfunnsvitenskapelig metode;NLA;NLA Høgskolen;HSM126;Innføring i statistikk med forskningsmetode;2025;Vår;278;A-F;2.83;8.3;27;42;98;37;51;23;;;
Samfunnsvitenskapelig metode;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS240;Samfunnsvitenskapelig metode;2023;Høst;141;A-F;3.99;0;30;79;32;0;0;0;;;
Samfunnsvitenskapelig metode;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS240;Samfunnsvitenskapelig metode;2024;Høst;150;A-F;3.67;0;14;76;56;4;0;0;;;
Samfunnsvitenskapelig metode;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS240;Samfunnsvitenskapelig metode;2025;Høst;225;A-F;3.67;0;21;119;75;10;0;0;;;
Samfunnsvitenskapelig metode;NORD;Nord universitet;ECO1003;Samfunnsøkonomi, makro;2023;Vår;162;A-F;3.26;27.8;9;43;35;30;0;45;;;
Samfunnsvitenskapelig metode;NORD;Nord universitet;ECO1003;Samfunnsøkonomi, makro;2024;Vår;140;A-F;3.22;25.7;13;28;36;23;4;36;;;
Samfunnsvitenskapelig metode;NORD;Nord universitet;ECO1003;Samfunnsøkonomi, makro;2025;Vår;126;A-F;2.43;30.9;4;9;28;25;21;39;;;
Samfunnsvitenskapelig metode;NTNU Gjøvik;NTNU (Gjøvik);SMF2292;Kvantitative og kvalitative metoder;2023;Vår;41;A-F;2.31;14.6;0;6;9;10;10;6;;;
Samfunnsvitenskapelig metode;NTNU Gjøvik;NTNU (Gjøvik);SMF2292;Kvantitative og kvalitative metoder;2024;Vår;67;A-F;2.2;19.4;0;10;9;17;18;13;;;
Samfunnsvitenskapelig metode;NTNU Gjøvik;NTNU (Gjøvik);SMF2292;Kvantitative og kvalitative metoder;2025;Vår;60;A-F;2.57;21.7;5;3;19;7;13;13;;;
Samfunnsvitenskapelig metode;NTNU Trondheim;NTNU (Trondheim);MET3001;Kvantitative og kvalitative metoder;2023;Vår;187;A-F;3.23;3.7;11;71;57;30;11;7;;;
Samfunnsvitenskapelig metode;NTNU Trondheim;NTNU (Trondheim);MET3001;Kvantitative og kvalitative metoder;2024;Vår;257;A-F;3.38;1.2;25;104;81;31;13;3;;;
Samfunnsvitenskapelig metode;NTNU Trondheim;NTNU (Trondheim);MET3001;Kvantitative og kvalitative metoder;2025;Vår;241;A-F;3.45;3.3;19;100;81;33;0;8;;;
Samfunnsvitenskapelig metode;NTNU Ålesund;NTNU (Ålesund);AM201306;Kvantitative og kvalitative metoder;2023;Vår;69;A-F;1.89;10.1;0;0;10;35;17;7;;;
Samfunnsvitenskapelig metode;NTNU Ålesund;NTNU (Ålesund);AM201306;Kvantitative og kvalitative metoder;2024;Vår;114;A-F;2.37;23.7;5;12;20;23;27;27;;;
Samfunnsvitenskapelig metode;NTNU Ålesund;NTNU (Ålesund);AM201306;Kvantitative og kvalitative metoder;2025;Vår;107;A-F;2.49;15.9;5;12;27;24;22;17;;;
Samfunnsvitenskapelig metode;ONH;Oslo Nye Høyskole;ØKAD2110;Metode og statistikk;2023;Høst;36;A-F;2.22;0;0;7;4;15;10;0;;;
Samfunnsvitenskapelig metode;ONH;Oslo Nye Høyskole;ØKAD2110;Metode og statistikk;2024;Høst;78;A-F;3.6;0;24;22;14;13;5;0;;;
Samfunnsvitenskapelig metode;ONH;Oslo Nye Høyskole;ØKAD2110;Metode og statistikk;2025;Høst;93;A-F;3.45;0;29;21;17;15;11;0;;;
Samfunnsvitenskapelig metode;OsloMet;OsloMet – storbyuniversitetet;ØAMET2100;Samfunnsvitenskapelig metode;2023;Høst;71;A-F;3.39;7.0;10;25;19;5;7;5;;;
Samfunnsvitenskapelig metode;OsloMet;OsloMet – storbyuniversitetet;ØAMET2100;Samfunnsvitenskapelig metode;2024;Høst;114;A-F;3.07;8.8;4;35;35;24;6;10;;;
Samfunnsvitenskapelig metode;OsloMet;OsloMet – storbyuniversitetet;ØAMET2100;Samfunnsvitenskapelig metode;2025;Høst;67;A-F;2.51;17.9;0;7;24;14;10;12;;;
Samfunnsvitenskapelig metode;USN;Universitetet i Sørøst-Norge;MET1020;Samfunnsvitenskapelig metode;2025;Vår;683;A-F;3.06;11.4;70;144;197;142;52;78;;;
Samfunnsvitenskapelig metode;UiA;Universitetet i Agder;ME-112;Social Scientific Methods;2023;Vår;305;A-F;3.39;0;35;102;116;52;0;0;;;
Samfunnsvitenskapelig metode;UiA;Universitetet i Agder;ME-112;Social Scientific Methods;2024;Vår;335;A-F;2.82;0;19;75;100;110;31;0;;;
Samfunnsvitenskapelig metode;UiA;Universitetet i Agder;ME-112;Social Scientific Methods;2025;Vår;353;A-F;2.71;0.9;20;69;110;91;60;3;;;
Samfunnsvitenskapelig metode;UiS;Universitetet i Stavanger;BØK295;Samfunnsvitenskapelig metode for arbeidslivet;2024;Vår;152;A-F;3.71;0;34;52;57;6;3;0;;;
Samfunnsvitenskapelig metode;UiS;Universitetet i Stavanger;BØK295;Samfunnsvitenskapelig metode for arbeidslivet;2025;Vår;151;A-F;3.73;0;27;67;46;11;0;0;;;
Samfunnsvitenskapelig metode;UiT;UiT Norges arktiske universitet;SVF-1050;Samfunnsvitenskapelig metode;2023;Høst;81;A-F;2.51;44.4;0;7;15;17;6;36;;;
Samfunnsvitenskapelig metode;UiT;UiT Norges arktiske universitet;SVF-1050;Samfunnsvitenskapelig metode;2024;Høst;95;A-F;2.6;13.7;3;14;28;21;16;13;;;
Samfunnsvitenskapelig metode;UiT;UiT Norges arktiske universitet;SVF-1050;Samfunnsvitenskapelig metode;2025;Høst;113;A-F;2.79;18.6;0;27;29;26;10;21;;;
