;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Master Økonomi og administrasjon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ØA;Karakter;antall;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;A;28;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B;40;;;;;;;;;;;;;;;;;;;;;;;;;;;
;C;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ØA;Karakter;Antall;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;A;25;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B;44;;;;;;;;;;;;;;;;;;;;;;;;;;;
;C;14;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-ØA;Karakter;Antall;Kvinner;Menn;;;;;;;;;;;;;;;;;;;;;;;;;
2024;A;16;7;9;;;;;;;;;;;;;;;;;;;;;;;;;
;B;26;11;15;;;;;;;;;;;;;;;;;;;;;;;;;
;C;15;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
;D;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;
;E;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Master Bioøkonomi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;Karakter;Antall;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;A;14;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B;10;;;;;;;;;;;;;;;;;;;;;;;;;;;
;C;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;Karakter;Antall;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;A;13;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B;7;;;;;;;;;;;;;;;;;;;;;;;;;;;
;C;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;Karakter;Antall;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
