Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026
Universitetet i Bergen;184 369;Samfunnsøkonomi, bachelor;Bergen;Økonomisk-administrative fag;Førstevalgssøkere;251;219;247;247;260;274
Universitetet i Bergen;184 369;Samfunnsøkonomi, bachelor;Bergen;Økonomisk-administrative fag;Studieplasser;108;113;107;101;101;101
Universitetet i Bergen;184 369;Samfunnsøkonomi, bachelor;Bergen;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);36,3 %;31,5 %;41,7 %;38,9 %;31,5 %;40,1 %
Universitetet i Bergen;184 369;Samfunnsøkonomi, bachelor;Bergen;Økonomisk-administrative fag;Antall kvalifiserte;1 788;1 659;1 702;1 896;1 776;2 034
Universitetet i Bergen;184 369;Samfunnsøkonomi, bachelor;Bergen;Økonomisk-administrative fag;Antall tilbud;266;281;261;246;247;242
Universitetet i Bergen;184 698;Samfunnsøkonomi, master;Bergen;Økonomisk-administrative fag;Alle søkere;707;665;670;725;692;681
Universitetet i Bergen;184 698;Samfunnsøkonomi, master;Bergen;Økonomisk-administrative fag;Førstevalgssøkere;60;41;45;53;51;47
Universitetet i Bergen;184 698;Samfunnsøkonomi, master;Bergen;Økonomisk-administrative fag;Studieplasser;22;22;22;22;22;22
Universitetet i Bergen;184 698;Samfunnsøkonomi, master;Bergen;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);35,0 %;34,1 %;42,2 %;39,6 %;47,1 %;48,9 %
Universitetet i Bergen;184 698;Samfunnsøkonomi, master;Bergen;Økonomisk-administrative fag;Antall kvalifiserte;595;578;573;605;575;554
Universitetet i Bergen;184 698;Samfunnsøkonomi, master;Bergen;Økonomisk-administrative fag;Antall tilbud;72;75;76;70;69;57
Universitetet i Oslo;185 239;Samfunnsøkonomi, årsstudium;Oslo;Økonomisk-administrative fag;Alle søkere;1 298;1 126;1 211;1 286;1 408;1 276
Universitetet i Oslo;185 239;Samfunnsøkonomi, årsstudium;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;169;129;131;184;237;176
Universitetet i Oslo;185 239;Samfunnsøkonomi, årsstudium;Oslo;Økonomisk-administrative fag;Studieplasser;50;50;40;40;40;40
Universitetet i Oslo;185 239;Samfunnsøkonomi, årsstudium;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);49,1 %;53,5 %;47,3 %;41,3 %;48,9 %;53,4 %
Universitetet i Oslo;185 239;Samfunnsøkonomi, årsstudium;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;1 269;1 098;1 156;1 238;1 374;1 243
Universitetet i Oslo;185 239;Samfunnsøkonomi, årsstudium;Oslo;Økonomisk-administrative fag;Antall tilbud;130;130;120;109;112;110
Universitetet i Oslo;185 698;Samfunnsøkonomisk analyse;Oslo;Økonomisk-administrative fag;Alle søkere;610;489;485;558;540;492
Universitetet i Oslo;185 698;Samfunnsøkonomisk analyse;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;114;93;76;85;93;72
Universitetet i Oslo;185 698;Samfunnsøkonomisk analyse;Oslo;Økonomisk-administrative fag;Studieplasser;52;52;39;39;38;38
Universitetet i Oslo;185 698;Samfunnsøkonomisk analyse;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);43,0 %;46,2 %;46,1 %;48,2 %;40,9 %;43,1 %
Universitetet i Oslo;185 698;Samfunnsøkonomisk analyse;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;496;391;392;453;436;405
Universitetet i Oslo;185 698;Samfunnsøkonomisk analyse;Oslo;Økonomisk-administrative fag;Antall tilbud;100;100;81;84;80;75
Universitetet i Oslo;185 898;Samfunnsøkonomi, bachelor;Oslo;Økonomisk-administrative fag;Alle søkere;1 732;1 884;2 093;2 004;1 793;1 639
Universitetet i Oslo;185 898;Samfunnsøkonomi, bachelor;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;224;249;237;255;270;218
Universitetet i Oslo;185 898;Samfunnsøkonomi, bachelor;Oslo;Økonomisk-administrative fag;Studieplasser;100;95;82;82;82;82
Universitetet i Oslo;185 898;Samfunnsøkonomi, bachelor;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);33,9 %;36,5 %;36,3 %;36,5 %;41,9 %;40,8 %
Universitetet i Oslo;185 898;Samfunnsøkonomi, bachelor;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;1 659;1 830;1 988;1 926;1 603;1 483
Universitetet i Oslo;185 898;Samfunnsøkonomi, bachelor;Oslo;Økonomisk-administrative fag;Antall tilbud;190;190;159;150;152;155
;;;;;;;;;;;
Studiekode;Studienavn;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;47,8;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;48;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;48,3;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;49,3;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;49,3;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2025;54,2;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2024;53;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2023;52,8;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2022;52,7;;;
184239;Samfunnsøkonomi, årsstudium;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2021;53,8;;;
184239;Samfunnsøkonomi, årsstudium;UIB;Bergen;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;47,3;;;
184239;Samfunnsøkonomi, årsstudium;UIB;Bergen;ØKADM;Ordinær kvote;Hovedopptak;2026;55;;;
