Column1;_1;_2;_3;_32;_4;_5;_6;_7;Semester;Høst 2025;Høst 2025_8;Høst 2025_9;Høst 2025_10;Høst 2025_11;Høst 2025_12;Høst 2025_13;Høst 2025_14;Høst 2025_15;Høst 2025_16;Høst 2025_17;Høst 2025_18;Høst 2025_19;Høst 2025_20;Høst 2025_21;Høst 2025_22;Høst 2025_23;Høst 2025_24;Høst 2025_25;Høst 2025_26;Høst 2025_27;Høst 2025_28;Sum høst;_29;Vår 2025;Vår 2025_30;Vår 2025_31;Vår 2025_32;Vår 2025_33;Vår 2025_34;Vår 2025_35;Vår 2025_36;Vår 2025_37;Vår 2025_38;Vår 2025_39;Vår 2025_40;Vår 2025_41;Vår 2025_42;Vår 2025_43;Vår 2025_44;Vår 2025_45;Vår 2025_46;_47;Høst 2024;Høst 2024_48;Høst 2024_49;Høst 2024_50;Høst 2024_51;Høst 2024_52;Høst 2024_53;Høst 2024_54;Høst 2024_55;Høst 2024_56;Høst 2024_57;Høst 2024_58;Høst 2024_59;Høst 2024_60;_61;Bokstav;Tall;_62;_63
M-ØA;20;3,25;NTNU;;20;B;4;;;;;;;;;C;B; ;;;C;;;;;;;;;;;;;;;;;;;;;; ;;;C;;;;;;;;;;;;;C;C;;;;;;;3,1;;;;8
M-ØA;21;3,41;BI;;21;B;4;;;;;;;;B;;;;;;;;;;C;;;;;;;;;;;;;;B;;;;;;;A;;F;B;;C;;;;;;;;;;;;;;B;;3,21;;;;8
M-ØA;22;3;INN;;22;B;4;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;;B;A;;;;;;;C;;;;C;;;C;;;;;;;3,64;;;;8
M-ØA;23;3,25;BI;;23;A;5;;;;;;;;;C;;;;C;B;;;;;;;;;;;;;;C;;;;;;C;B;;;;A;;;;;;;;;;;;;B;B;;;;;;;3,63;;;;9
M-ØA;24;3,35;OsloMET;;24;B;4;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;F;;;;;;;C;;;;A;;;C;;;;;;;3,2;;;;6
M-ØA;25;3,25;OsloMET/Høyskolen på Vestlandet;;25;B;4;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;E;;; ;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;2,67;;;;5
M-ØA;26;3,69;NMBU;;26;A;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;B;;A;B;;C;;;;;;;;;A;;B;;;B;;4,21;;;;8
M-ØA;27;3,25;HiØ;;27;B;4;;;;;;;;; ;;; ;C;B;;;;;;;;;;;;;;;;;;;;C;F;; ;;B;;;;;;;;;;;;;C;B;;;;;;;2,92;;;;10
M-ØA;28;3,25;NMBU;;28;B;4;;;;;;;;;F;;;;E;D;;;;;;;;;;;;;;;;;;;;B;;;;;B;;;;;;;;;;;;;B;B;;;;;;;2,75;;;;7
M-ØA;29;3,25;OsloMet;;29;B;4;;;;;;;;;C;;;;C;C;;;;;;;;;;;;;;;;;;C;;C;B;;;;B;;;;;;;;;;;;;B;B;;;;;;;3,47;;;;9
M-ØA;30;3,33;BI;;30;A;5;;;;C;B;F;;;;B;;;;;;;;;;;;;;;;;;;;;;A;C;;;;;B;B;;;;;D;;C;;;;F;;;A;;;;;;;3;;;;12
M-ØA;31;3;BI;;31;B;4;;;;;;;;B;;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;A;;F;B;;C;;;;;;;;;;;;;E;C;;2,73;;;;8
M-ØA;32;4,11;BI;;32;B;4;;;;;;;;;;;;; ; ;;;;;;;;;;;;;;;;;;;;B;B;;B;;B;;;;;;;;;;;;;A;;;;;B;;;4,2;;;;8
M-ØA;33;;#I/T;;33;B;4;;;;;;;;E;;;;;;;F;;;;;;;;A;;;;;;;;;A;;;; ;E;;;;;;C;;;;;;;;;;B;;;;;;;2,64;;;;8
M-ØA;34;3,25;UiS;;34;C;3;;;;B;A;;;;;;;;;;;;;;;;;;;;;;;C;;; ;;;;;;;E;A;;;;;;;C;;;;B;;;B;;;;;;;3,43;;;;9
M-ØA;35;;#I/T;;35;A;5;;;;B;A;B;;;;A;;;;;;;;;;;;;;;;;;;; ;;A;B;;;;;A;C;;;;;;;B;;;;F;;;B;;;;;;;3,76;;;;12
M-ØA;36;3,39;Nord universitet;;36;B;4;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;C;;;A;;;;;;;B;;D;B;;B;;;;;F;;;;B;;E;;;B;;2,94;;;;11
M-ØA;37;3,25;Høgskolen i Innlandet;;37;B;4;;;;;;;;;F;;;;C;C;;;;;;;;;;;;;;C;;;;A;;B;;;;;B;;;;;;;;;;;;;B;B;;;;;;;3,2;;;;9
M-ØA;38;4,5;University of Arizona + NMBU;;38;A;5;;;;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;A;;A;;;;A;;;C;;;;;;;4,38;;;;7
M-ØA;39;3,35;BI;;39;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;D;;;;;;C;;;;;;;;;;C;;;;;;;3,2;;;;4
M-ØA;40;3,65;NTNU+UiB;;40;A;5;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;;;;;;;C;;;;B;;;C;;;;;;;3,92;;;;7
M-ØA;41;3,33;BI;;41;A;5;;;;;;;;;C;;;;C;B;;;;;;;;;;;;;;;;;;;;B;;;;B;B;;;;A;;;;;;;;;B;A;;;;;;;4;;;;9
M-ØA;42;3,96;HK / BI;;42;B;4;;;;;;;;B;;;;;;;;;;;;;;;;;;;C;;;;;A;;;;;;;B;;C;A;;C;;;;;;;;;B;;C;;;B;;3,72;;;;10
M-ØA;43;3,42;NMBU;;43;C;3;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;B;C;;;;;C;;C;;;;C;;;B;;;;;;;3,71;;;;9
M-ØA;44;3,25;BI;;44;B;4;;;;;;;;;C;;;;C;C;;;;;;;;;;;;;;C;;;;;;C;;;;;B;;;;;;;;;;;;;E;B;;;;;;;2,93;;;;8
M-ØA;45;3,04;NTNU;;45;B;4;;;;;;;;B;;;;;;;;;F;D;;B;;;;;;;;;;;;B;;;;;;;B;;F;B;;B;;;;;;;;;;;;;;;;2,75;;;;9
M-ØA;46;3,6;NTNU / Innlandet / Stavanger;;46;B;4;;;;;;;;;A;;;;B;D;;;;;;;;;;;;;;;;B;;C;;A;;;;;B;;;;;;;;;;;;;A;C;;;;;;;3,93;;;;9
M-ØA;47;3,32;NMBU;;47;A;5;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;B;;;;;;B;;;;B;;;C;;;;;;;4,07;;;;8
M-ØA;48;3,97;NMBU;;48;B;4;;;;B;A;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;;;A;;;;B;;;B;;;;;;;4,23;;;;8
M-ØA;49;3,29;USN;;49;C;3;;;F;C;B;;;;;;;;;;;E;;;;;;;;;;;;;;;;B;;;;;;F;B;;;;;;;;;;;D;D;;B;;;;;;;2,13;;;;10
M-ØA;50;3,44;NMBU;;50;B;4;;;;;;;;;B;;;;C;B;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;A;C;;;;;;;3,9;;;;6
M-ØA;51;3,25;NMBU;;51;A;5;;;;;;;;;E;;;;C;C;;;;;;;;;;;;;;;;;;B;;B;;C;;B;D;;;;;;;;;;;;;C;B;;;;;;;3,12;;;;10
M-ØA;52;3,5;OsloMet;;52;B;4;;;;;;;;;B;;;;B;A;;;;;;;;;;;;;;;;;;C;;C;B;;;;A;;;;;;;;;;;;;A;B;;;;;;;4,13;;;;9
M-ØA;53;3,96;NMBU;;53;B;4;;;;C;C;;; ;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;B;;;;F;;;B;;;;;;;2,64;;;;7
M-ØA;54;;;;54;A;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;D; ;B;;;;C;;;;;;;3,43;;;;5
M-ØA;55;3,78;HiØ;;55;B;4;;;;;;;;;A;;;;C;B;;;;;;;;;;;;;;;;;;;;C;;;C;;A;;;;;;;;;;;;;C;B;;;;;;;3,77;;;;8
M-ØA;56;4,13;UiT;;56;A;5;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;;B;A;;;;;;;A;;;;B;;;C;;;;;;;4,36;;;;8
M-ØA;57;3,33;NMBU;;57;C;3;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;B;B;;;;;;;C;;;;B;;;B;;;;;;;3,86;;;;8
M-ØA;58;3,43;BI;;58;A;5;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;C;;;;A;;;;A;;A;A;B;;;;;;C;;;;B;;;C;;;;;;;4,11;;;;11
M-ØA;59;;;;59;A;5;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;A;B;;;;A;;;A;;;;B;;;C;;;;;;;4,4;;;;9
M-ØA;60;3,41;NMBU;;60;A;5;;;;;;;;;D;;;;C;C;;;;;;;;;;;;;;;;;;B;;B;;;;C;A;;;;;;;;;;;;;C;C;;;;;;;3,2;;;;9
M-ØA;61;4,35;BI;;61;A;5;;;;;;;;B;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;; ;;;;;;;3,8;;;;4
M-ØA;62;;;;62;C;3;;;;;;;;;C;;B; ;B;A;;;;; ;;;;;;;;; ;;;;;;A;A; ;;;C;;;;;;;;;;;;;;C;;;;;;;4,07;;;;12
M-ØA;63;3,61;HiØ;;63;B;4;;;;;;;;;C;;;;C;B;;;;;;;;;;;;;;;;;;;;C;;;C;;C;;;;;;;;;;;;;D;B;;;;;;;3,15;;;;8
M-ØA;64;3,25;NMBU;;64;C;3;;;;C;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;; ;;C;B;;;;;;;E;;;;;D;;B;;;;;;;2,83;;;;8
M-ØA;65;3,4;NMBU;;65;A;5;;;;;;;;;A;;C;;B;C;;;;;;;;;;;;;;;;;;;;C;A;;;;B;;;;;B;;;;;;;;D;C;;;;;;;3,56;;;;10
M-ØA;66;3,27;NMBU;;66;B;4;;;;;;;;;F;;C; ;D;D;;;;;;;;;;;;;;;;;;;;; ; ;;;A;;;;;;;;;;;;;F;B;;;;;;;2,08;;;;10
M-ØA;67;3,27;HiØ + BI;;67;C;3;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;C;;;; ;;;C;;D;B;;;;;;;;;;;B;;E;;;C;;2,57;;;;9
M-ØA;68;3,29;USN;;68;B;4;;;;C;B;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;D;B;;;;;;;D;;;;D;;;C;;;;;;;2,86;;;;8
M-ØA;69;3,32;BI;;69;A;5;;;;B;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;C;B;B;;;;;;C;;;;C;;;B;;;;;;;3,19;;;;9
M-ØA;70;3,48;BI;;70;B;4;;;;;;;;;C;; ;C;C;C;;;;;;;;;;;;;;;;;;B;;D; ;C;;;B;;;;;;;;;;;;;D;C;;;;;;;2,88;;;;12
M-ØA;71;3,6;NMBU;;71;B;4;;;;;;;;;A;;;;B;B;;;;;;;;;;;;;;;;B;;;;B;A;;;;B;;;;;;;;;;;;;B;B;;;;;;;4,27;;;;9
M-ØA;72;4;BI + utveksling;;72;A;5;;;;B;A;;;;;;;;;;;;;;;;;;;;;;;C;;;;A;;;;;;B;C;B;;;;;;B;;;;B;;;C;;;;;;;3,82;;;;10
M-ØA;73;3,77;OsloMet;;73;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;A;;C;B;;B;;;;;;;;;B;;C;;;A;;4;;;;8
M-ØA;74;3,53;NMBU;;74;A;5;;;;;;;;;C;;;;B;B;;;;;;;;;;;;;; ;;; ;;;C;;;;;A;;;;;F;;;;;;;;C;B;;;;;;;3,07;;;;10
M-ØA;75;;;;75;B;4;;;;;;;;;F;; ;;E;C;;;;;;;;;;;;;;;;;;A;;B;;D;;;B;;;;;;;;;;;;;D;B;;;;;;;2,67;;;;10
M-ØA;76;4,37;NMBU;;76;A;5;;;;A;A;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;C;;B;;;;A;;;B;;;;;;;4,4;;;;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;M-ØA;4,26;Snittkarakter masteroppgave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gjennomsnitt emner før masteroppgave;;3,44;;;;
;;;;;;M-ØA;0,83;Differanse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;Antall emner med karakter;;Bokstav;Tall;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Antallet studenter med vurdering i emnet;21;1;1;1;1;;27;1;1;1;1;1;8;;1;11;1;1;14;1;1;1;;;;A;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Studiepoeng emne;5;5;5;10;10;;10;10;5;10;10;5;5;;5;10;5;5;5;10;10;5;;;;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Studieprogram;Studentnummer;Opptakssnitt (snitt fra bachelorgrad) kjerne eller 180 stp;Studiested for bachelorgrad;;;Bokstavkarakter;Tallkarakter;;Emnekode;AOS340;BUS211;BUS328;BUS339;INN360;;BIOEC350;BUS210;BUS211;BUS340;ECN210;ECN260;ECN263;;AOS230;AOS237;AOS240;BUS133;BUS211;BUS220;BUS340;ECN120;;;;C;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;77;3,78;HINN;;;A;5;;;B;;;;;;B;;;;;;;;;C;;;D;;;;3,25;4;;D;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;78;3,64;NMBU;;;A;5;;;B;;;;;;B;;;;;;;;;;;;;;;;4;2;;E;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;79;;;;;A;5;;;;;;;;;A;;;;;;;;;;;;;;;;5;1;;F;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;80;;;;;A;5;;;A;A;;;;;A;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;81;2,9;NMBU;;;B;4;;;B;;;;A;;B;;;;;;D;;;C;;;A;;;;3,73;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;82;3,1;Høgskolen Kristiania;;;D;2;;;;;;;;;B;;;;;;C;;;;;;;;;;3,5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;83;2,79;OSLOMet;;;B;4;;;A;;;;;;C;;;;;;;;;C;;;B;;;;3,75;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;84;4;Høgskolen Kristiania;;;A;5;;;;;;;;;B;;;;;;C;;;;;;;;;;3,5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;85;3,7;NMBU;;;A;5;;;A;;;;;;C;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;86;3,8;Høgskolen Kristiania;;;A;5;;;A;;;;;;B;;;;;;;;;B;;;B;;;;4,25;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;87;2,8;UiB;;;A;5;;;B;;;;;;C;;;;;;;;;B;;;B;;;;3,75;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;88;3,1;Høgskolen Kristiania;;;B;4;;;C;;;;;;B;;;;;;;;;;;;;;;;3,5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;89;;;;;C;3;;;;;;A;;;;B;;;C;0;;;;;C;;;C;;B;3,71;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;90;3,37;BI;;;D;2;;;B;;;;;;A;;;;;;C;;;;;;0;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;91;3,6;OSLOMet;;;A;5;;;A;;;;;;A;;B;B;;;0;;;;;;0;;;;4,5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;92;4,1;Høgskolen Kristiania;;;B;4;;;A;;;;;;B;;;;;;;;;;;;;;;;4,5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;93;4,25;OsloMet;;;A;5;;;A;;;;;;A;;;;;;;;;;;;B;;;;4,67;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;94;;;;;A;5;;;B;;;;;;A;;;;;;;;;;;;;;;;4,5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;95;3,4;NTNU;;;A;5;;;C;;;;;;B;;;;;;;;;;;;;;;;3,5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;96;4;NTNU;;;A;5;;;;;A;;;;B;;;;;;;;;;;;;;;;4,33;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;97;3,1;NTNU;;;B;4;;;B;;;;;;B;;;;;;;;;B;;A;A;;;;4,4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;98;2,79;NTNU;;;B;4;;;A;;;;;;B;;;;;;B;;;B;;;B;;;;4,2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
