emne,semester,A,B,C,D,E,F,antall_kandidater
M30-ECON,Vår 2023,7,6,4,0,0,0,17
M30-ECON,Vår 2024,10,0,6,0,0,0,16
M30-ECON,Vår 2025,6,9,3,0,0,0,18
M30-ECON,Vår 2026,6,2,2,0,0,0,10
