Kvote;Lærested;Measure Names;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Measure Values
Ordinær kvote;UIA;Poenggrense;Hovedopptak;201 260;IT og informasjonssystemer, bachelor;Kristiansand;INFOTEKN;2020;49.2
Ordinær kvote;UIA;Søkere på venteliste;Hovedopptak;201 260;IT og informasjonssystemer, bachelor;Kristiansand;INFOTEKN;2020;462
Førstegangsvitnemålskvote;UIA;Poenggrense;Suppleringsopptak;201 260;IT og informasjonssystemer, bachelor;Kristiansand;INFOTEKN;2020;39.6
Førstegangsvitnemålskvote;UIA;Søkere på venteliste;Suppleringsopptak;201 260;IT og informasjonssystemer, bachelor;Kristiansand;INFOTEKN;2020;86
Ordinær kvote;UIA;Poenggrense;Suppleringsopptak;201 260;IT og informasjonssystemer, bachelor;Kristiansand;INFOTEKN;2020;48.8
Ordinær kvote;UIA;Søkere på venteliste;Suppleringsopptak;201 260;IT og informasjonssystemer, bachelor;Kristiansand;INFOTEKN;2020;256
Førstegangsvitnemålskvote;USN;Poenggrense;Hovedopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;29.7
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Hovedopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;13
Ordinær kvote;USN;Poenggrense;Hovedopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;44.1
Ordinær kvote;USN;Søkere på venteliste;Hovedopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;177
Førstegangsvitnemålskvote;USN;Poenggrense;Suppleringsopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;28
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Suppleringsopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;3
Ordinær kvote;USN;Poenggrense;Suppleringsopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;43.7
Ordinær kvote;USN;Søkere på venteliste;Suppleringsopptak;222 449;IT og informasjonssystemer, Bø;Midt-Telemark;INFOTEKN;2020;107
Førstegangsvitnemålskvote;USN;Poenggrense;Hovedopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;33.5
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Hovedopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;41
Ordinær kvote;USN;Poenggrense;Hovedopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;46.3
Ordinær kvote;USN;Søkere på venteliste;Hovedopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;264
Førstegangsvitnemålskvote;USN;Poenggrense;Suppleringsopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;32.8
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Suppleringsopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;24
Ordinær kvote;USN;Poenggrense;Suppleringsopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;46
Ordinær kvote;USN;Søkere på venteliste;Suppleringsopptak;222 395;IT og informasjonssystemer, Hønefoss;Hønefoss;INFOTEKN;2020;163
Førstegangsvitnemålskvote;USN;Poenggrense;Hovedopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;36
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Hovedopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;41
Ordinær kvote;USN;Poenggrense;Hovedopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;49.1
Ordinær kvote;USN;Søkere på venteliste;Hovedopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;264
Førstegangsvitnemålskvote;USN;Poenggrense;Suppleringsopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;35.8
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Suppleringsopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;21
Ordinær kvote;USN;Poenggrense;Suppleringsopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;49
Ordinær kvote;USN;Søkere på venteliste;Suppleringsopptak;222 453;IT og informasjonssystemer, Horten;Horten;INFOTEKN;2020;166
Førstegangsvitnemålskvote;HIM;Poenggrense;Hovedopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;0
Førstegangsvitnemålskvote;HIM;Søkere på venteliste;Hovedopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;0
Ordinær kvote;HIM;Poenggrense;Hovedopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;50.4
Ordinær kvote;HIM;Søkere på venteliste;Hovedopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;335
Førstegangsvitnemålskvote;HIM;Poenggrense;Suppleringsopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;0
Førstegangsvitnemålskvote;HIM;Søkere på venteliste;Suppleringsopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;0
Ordinær kvote;HIM;Poenggrense;Suppleringsopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;50
Ordinær kvote;HIM;Søkere på venteliste;Suppleringsopptak;211 187;IT, nettbasert;Molde;INFOTEKN;2020;189
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 565;Italiensk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;43.7
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;22
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;58.8
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;146
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;43.7
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;13
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;58.8
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 950;Italiensk, årsstudium;Oslo;SPRÅK;2020;74
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;0
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;45.2
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;14
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;0
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;45.2
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 565;Italiensk, bachelor;Oslo;SPRÅK;2020;9
Førstegangsvitnemålskvote;INN;Poenggrense;Hovedopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Søkere på venteliste;Hovedopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Poenggrense;Hovedopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Søkere på venteliste;Hovedopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Poenggrense;Suppleringsopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Søkere på venteliste;Suppleringsopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Poenggrense;Suppleringsopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Søkere på venteliste;Suppleringsopptak;209 172;Jakt, fiske og naturveiledning;Stor-Elvdal;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;39
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;24
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;51.3
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;151
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;39
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;9
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;51.3
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 582;Japan-studier med japansk;Oslo;SPRÅK;2020;96
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 582;Japansk;Bergen;SPRÅK;2020;32.6
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 582;Japansk;Bergen;SPRÅK;2020;8
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 582;Japansk;Bergen;SPRÅK;2020;45.6
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 582;Japansk;Bergen;SPRÅK;2020;64
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 582;Japansk;Bergen;SPRÅK;2020;32.6
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 582;Japansk;Bergen;SPRÅK;2020;3
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 582;Japansk;Bergen;SPRÅK;2020;45.6
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 582;Japansk;Bergen;SPRÅK;2020;39
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;53.1
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;252
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;56.2
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;394
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;53
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;110
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;56
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 454;Journalistikk;Bergen;MEDIEFAG;2020;175
Førstegangsvitnemålskvote;NORD;Poenggrense;Hovedopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NORD;Søkere på venteliste;Hovedopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Ordinær kvote;NORD;Poenggrense;Hovedopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Ordinær kvote;NORD;Søkere på venteliste;Hovedopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NORD;Poenggrense;Suppleringsopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NORD;Søkere på venteliste;Suppleringsopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Ordinær kvote;NORD;Poenggrense;Suppleringsopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Ordinær kvote;NORD;Søkere på venteliste;Suppleringsopptak;204 454;Journalistikk;Bodø;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;OSLOMET;Poenggrense;Hovedopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;51.3
Førstegangsvitnemålskvote;OSLOMET;Søkere på venteliste;Hovedopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;252
Ordinær kvote;OSLOMET;Poenggrense;Hovedopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;59.3
Ordinær kvote;OSLOMET;Søkere på venteliste;Hovedopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;464
Førstegangsvitnemålskvote;OSLOMET;Poenggrense;Suppleringsopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;46.8
Førstegangsvitnemålskvote;OSLOMET;Søkere på venteliste;Suppleringsopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;76
Ordinær kvote;OSLOMET;Poenggrense;Suppleringsopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;54.3
Ordinær kvote;OSLOMET;Søkere på venteliste;Suppleringsopptak;215 454;Journalistikk;Oslo;MEDIEFAG;2020;152
Førstegangsvitnemålskvote;UIS;Poenggrense;Hovedopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;43.5
Førstegangsvitnemålskvote;UIS;Søkere på venteliste;Hovedopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;105
Ordinær kvote;UIS;Poenggrense;Hovedopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;48
Ordinær kvote;UIS;Søkere på venteliste;Hovedopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;199
Førstegangsvitnemålskvote;UIS;Poenggrense;Suppleringsopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;43.2
Førstegangsvitnemålskvote;UIS;Søkere på venteliste;Suppleringsopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;32
Ordinær kvote;UIS;Poenggrense;Suppleringsopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;47.6
Ordinær kvote;UIS;Søkere på venteliste;Suppleringsopptak;217 454;Journalistikk;Stavanger;MEDIEFAG;2020;68
Førstegangsvitnemålskvote;NLA;Poenggrense;Hovedopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NLA;Søkere på venteliste;Hovedopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Poenggrense;Hovedopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Søkere på venteliste;Hovedopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NLA;Poenggrense;Suppleringsopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NLA;Søkere på venteliste;Suppleringsopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Poenggrense;Suppleringsopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Søkere på venteliste;Suppleringsopptak;254 604;Journalistikk, årsstudium;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NLA;Poenggrense;Hovedopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NLA;Søkere på venteliste;Hovedopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Poenggrense;Hovedopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Søkere på venteliste;Hovedopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NLA;Poenggrense;Suppleringsopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;NLA;Søkere på venteliste;Suppleringsopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Poenggrense;Suppleringsopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Ordinær kvote;NLA;Søkere på venteliste;Suppleringsopptak;254 454;Journalistikk, bachelor;Kristiansand;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;HVO;Poenggrense;Hovedopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;41.9
Førstegangsvitnemålskvote;HVO;Søkere på venteliste;Hovedopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;36
Ordinær kvote;HVO;Poenggrense;Hovedopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;44.9
Ordinær kvote;HVO;Søkere på venteliste;Hovedopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;65
Førstegangsvitnemålskvote;HVO;Poenggrense;Suppleringsopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;41.9
Førstegangsvitnemålskvote;HVO;Søkere på venteliste;Suppleringsopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;18
Ordinær kvote;HVO;Poenggrense;Suppleringsopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;44.9
Ordinær kvote;HVO;Søkere på venteliste;Suppleringsopptak;223 723;Journalistikk, spesialisering avis/nett;Volda;MEDIEFAG;2020;37
Førstegangsvitnemålskvote;HVO;Poenggrense;Hovedopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;50.1
Førstegangsvitnemålskvote;HVO;Søkere på venteliste;Hovedopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;147
Ordinær kvote;HVO;Poenggrense;Hovedopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;54
Ordinær kvote;HVO;Søkere på venteliste;Hovedopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;242
Førstegangsvitnemålskvote;HVO;Poenggrense;Suppleringsopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;50.1
Førstegangsvitnemålskvote;HVO;Søkere på venteliste;Suppleringsopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;68
Ordinær kvote;HVO;Poenggrense;Suppleringsopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;54
Ordinær kvote;HVO;Søkere på venteliste;Suppleringsopptak;223 849;Journalistikk, spesialisering tv/radio;Volda;MEDIEFAG;2020;126
Førstegangsvitnemålskvote;USN;Poenggrense;Hovedopptak;222 526;Jus;Hønefoss;JUS;2020;47.2
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Hovedopptak;222 526;Jus;Hønefoss;JUS;2020;265
Ordinær kvote;USN;Poenggrense;Hovedopptak;222 526;Jus;Hønefoss;JUS;2020;53.4
Ordinær kvote;USN;Søkere på venteliste;Hovedopptak;222 526;Jus;Hønefoss;JUS;2020;440
Førstegangsvitnemålskvote;USN;Poenggrense;Suppleringsopptak;222 526;Jus;Hønefoss;JUS;2020;46.4
Førstegangsvitnemålskvote;USN;Søkere på venteliste;Suppleringsopptak;222 526;Jus;Hønefoss;JUS;2020;120
Ordinær kvote;USN;Poenggrense;Suppleringsopptak;222 526;Jus;Hønefoss;JUS;2020;52.3
Ordinær kvote;USN;Søkere på venteliste;Suppleringsopptak;222 526;Jus;Hønefoss;JUS;2020;216
Førstegangsvitnemålskvote;HIM;Poenggrense;Hovedopptak;211 246;Jus;Molde;JUS;2020;0
Førstegangsvitnemålskvote;HIM;Søkere på venteliste;Hovedopptak;211 246;Jus;Molde;JUS;2020;0
Ordinær kvote;HIM;Poenggrense;Hovedopptak;211 246;Jus;Molde;JUS;2020;0
Ordinær kvote;HIM;Søkere på venteliste;Hovedopptak;211 246;Jus;Molde;JUS;2020;0
Førstegangsvitnemålskvote;HIM;Poenggrense;Suppleringsopptak;211 246;Jus;Molde;JUS;2020;0
Førstegangsvitnemålskvote;HIM;Søkere på venteliste;Suppleringsopptak;211 246;Jus;Molde;JUS;2020;0
Ordinær kvote;HIM;Poenggrense;Suppleringsopptak;211 246;Jus;Molde;JUS;2020;0
Ordinær kvote;HIM;Søkere på venteliste;Suppleringsopptak;211 246;Jus;Molde;JUS;2020;0
Førstegangsvitnemålskvote;HVL;Poenggrense;Hovedopptak;203 246;Jus;Sogndal;JUS;2020;42.5
Førstegangsvitnemålskvote;HVL;Søkere på venteliste;Hovedopptak;203 246;Jus;Sogndal;JUS;2020;41
Ordinær kvote;HVL;Poenggrense;Hovedopptak;203 246;Jus;Sogndal;JUS;2020;44.7
Ordinær kvote;HVL;Søkere på venteliste;Hovedopptak;203 246;Jus;Sogndal;JUS;2020;67
Førstegangsvitnemålskvote;HVL;Poenggrense;Suppleringsopptak;203 246;Jus;Sogndal;JUS;2020;42.3
Førstegangsvitnemålskvote;HVL;Søkere på venteliste;Suppleringsopptak;203 246;Jus;Sogndal;JUS;2020;16
Ordinær kvote;HVL;Poenggrense;Suppleringsopptak;203 246;Jus;Sogndal;JUS;2020;44.7
Ordinær kvote;HVL;Søkere på venteliste;Suppleringsopptak;203 246;Jus;Sogndal;JUS;2020;27
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;0
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;48.6
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;65
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;0
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;48.6
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 592;Kina-studier med kinesisk;Oslo;SPRÅK;2020;43
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 592;Kinesisk;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;NMBU;Poenggrense;Hovedopptak;192 332;Kjemi;Ås;REALFAG;2020;46.5
Førstegangsvitnemålskvote;NMBU;Søkere på venteliste;Hovedopptak;192 332;Kjemi;Ås;REALFAG;2020;22
Ordinær kvote;NMBU;Poenggrense;Hovedopptak;192 332;Kjemi;Ås;REALFAG;2020;49.3
Ordinær kvote;NMBU;Søkere på venteliste;Hovedopptak;192 332;Kjemi;Ås;REALFAG;2020;32
Førstegangsvitnemålskvote;NMBU;Poenggrense;Suppleringsopptak;192 332;Kjemi;Ås;REALFAG;2020;46.5
Førstegangsvitnemålskvote;NMBU;Søkere på venteliste;Suppleringsopptak;192 332;Kjemi;Ås;REALFAG;2020;13
Ordinær kvote;NMBU;Poenggrense;Suppleringsopptak;192 332;Kjemi;Ås;REALFAG;2020;49.3
Ordinær kvote;NMBU;Søkere på venteliste;Suppleringsopptak;192 332;Kjemi;Ås;REALFAG;2020;19
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 860;Kjemi;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;UIT;Poenggrense;Hovedopptak;186 860;Kjemi;Tromsø;REALFAG;2020;0
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Hovedopptak;186 860;Kjemi;Tromsø;REALFAG;2020;0
Ordinær kvote;UIT;Poenggrense;Hovedopptak;186 860;Kjemi;Tromsø;REALFAG;2020;0
Ordinær kvote;UIT;Søkere på venteliste;Hovedopptak;186 860;Kjemi;Tromsø;REALFAG;2020;0
